,AIR_MOTOR,APPROVED_BY,CHS,CUST,DATE_DRAWN,DESCRIPTION,DIRNAME,DRAWING_NUMBER,DRAWN_BY,DWG_TYPE,ELEC_MOTOR,FA1,FA10,FA11,FA12,FA13,FA14,FA15,FA16,FA17,FA18,FA19,FA1_1,FA1_2,FA1_3,FA2,FA20,FA21,FA22,FA23,FA24,FA25,FA26,FA27,FA28,FA29,FA3,FA30,FA31,FA32,FA33,FA34,FA35,FA36,FA37,FA38,FA39,FA4,FA40,FA41,FA42,FA43,FA44,FA45,FA46,FA47,FA5,FA6,FA7,FA8,FA9,FNAME,FTYPE,F_AM_1,F_AM_10,F_AM_11,F_AM_12,F_AM_13,F_AM_14,F_AM_2,F_AM_3,F_AM_4,F_AM_5,F_AM_6,F_AM_7,F_AM_8,F_AM_9,F_CHS_1,F_CHS_10,F_CHS_11,F_CHS_12,F_CHS_13,F_CHS_14,F_CHS_15,F_CHS_2,F_CHS_3,F_CHS_4,F_CHS_5,F_CHS_6,F_CHS_7,F_CHS_8,F_CHS_9,F_EM_1,F_EM_2,F_EM_3,F_EM_4,F_EM_5,F_EM_6,F_EM_7,F_EM_8,F_EM_9,F_GHT_1,F_GHT_10,F_GHT_11,F_GHT_12,F_GHT_13,F_GHT_14,F_GHT_15,F_GHT_2,F_GHT_3,F_GHT_4,F_GHT_5,F_GHT_6,F_GHT_7,F_GHT_8,F_GHT_9,F_PNU_1,F_PNU_10,F_PNU_11,F_PNU_12,F_PNU_13,F_PNU_2,F_PNU_3,F_PNU_4,F_PNU_5,F_PNU_6,F_PNU_7,F_PNU_8,F_PNU_9,F_SC_1,F_SC_2,F_SC_3,GHT,LANG,OPERATOR_TYPE,PA1,PA10,PA11,PA12,PA13,PA15,PA16,PA17,PA18,PA19,PA2,PA20,PA21,PA22,PA23,PA24,PA25,PA26,PA27,PA28,PA29,PA3,PA30,PA31,PA32,PA33,PA34,PA35,PA36,PA37,PA4,PA5,PA6,PA7,PA8,PA9,PB_TYPE,PNEUMATIC,PUMP,REVISION,SELFCONTAINED,SHEET_SIZE,SP_OPT,INFOS,OSM_VERSION_ID
,,LY,,,3/6/89,EMERGENCY SHUTDOWN & ELECTIC REMOTE 2-WAY,,6583-S,LER,,,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"MANIFOLDED 1/4""",,Y,1,,C   ,,B756BJFB      ,
,,SS,,,10/28/98,"HIGH-LOW SHUTOFF, ESD & ELECTRIC REMOTE 2-WAY",,9579-S,LER,,,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,Y,,,Y,,,,,,Y,,,,,,,,,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,N,N,N,N,Y,N,N,Y,N,N,N,N,,,,,,,,,,N,,,,,,,,,N,N,N,N,N,N,"MANIFOLDED 1/4""",,Y,0,,C   ,,B0FAHYLL      ,
,,SS,,,11/3/98,ELECTRIC FAILSAFE,,9581-S,LER,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,,,,,,,,,,,N,,,,,,,,,N,N,N,N,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,,,ROTARY PISTON (RPS) SR,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,N,,,,,,,,,Y,N,N,N,N,N,NONE,Y,N,0,,B   ,,B0HHBTHF      ,
,,SS,,,11/5/98,ELECTRIC REMOTE 2-WAY,,9582-S,LER,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,,Y,,,,,,,,,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,N,,,,,,,,,N,N,N,N,N,Y,"MANIFOLDED 1/2""",,Y,0,,C   ,,B0I7LU93      ,
,,SS,,,11/6/98,LOW PRESSURE SHUTOFF,,9583-S,LER,,,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,,,,,,,,,N,,,,,,,,,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,N,N,N,N,N,Y,N,Y,N,N,N,N,,,,,,,,,,N,,,,,,,,,N,N,N,N,N,N,"MANIFOLDED 1/4""",,Y,0,,C   ,,B0IKQJA3      ,
,,SS,,,11/6/98,ELECTRIC FAILSAFE,,9584-S,LER,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,,Y,,,N,,,,,,,,,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,G-SERIES SPRING RETURN,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,Y,,,N,,,,,,,,,N,N,N,N,N,N,NONE,,Y,0,,C   ,,B0IKQJEV      ,
,,SS,Y,,4/23/01,ELECTRIC REMOTE 2-WAY,,9990-S,LER,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,ROTARY VANE,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"MANIFOLDED 1/4""",,N,0,,B   ,,B9RSM51H      ,
,,SS,Y,,4/24/01,SINGLE LOW PRESSURE PILOT 2-WAY PNEUMATIC AND ESD,,9991-S,LY,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,ROTARY VANE,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,"MANIFOLDED 1/4""",,N,0,,C   ,,B9S4JI1H      ,
,,SS,,,4/30/01,EMERGENCY SHUTDOWN & ELECTRIC REMOTE 2-WAY,,9992-S,LY,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,G-SERIES DOUBLE ACTING,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"MANIFOLDED 1/4""",,N,0,,C   ,,B9UBIWJJ      ,
,,JMK,,,5/1/01,LOW PRESSURE SHUTOFF & ELECTRIC REMOTE 2-WAY,,9993-S,KJG,,,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"MANIFOLDED 1/4""",,Y,0,,C   ,,B9UPGLC1      ,
,,SS,Y,,5/8/01,DOUBLE LOW PRESSURE PILOT 2-WAY PNEUMATIC AND ESD,,9994-S,LY,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,ROTARY VANE,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"MANIFOLDED 1/4""",,N,0,,B   ,,B9X9FOQP      ,
,,SS,,,5/8/01,EMERGENCY SHUTDOWN,,9995-S,LER,,,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"MANIFOLDED 1/4""",,Y,1,,C   ,,B9XAR5S3      ,
,,SS,,,5/8/01,EMERGENCY SHUTDOWN & ELECTRIC REMOTE 2-WAY,,9996-S,LER,,,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,N,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"MANIFOLDED 1/4""",,Y,0,,C   ,,B9XAR5ST      ,
,,SS,,,5/8/01,ELECTRIC REMOTE 2-WAY,,9997-S,LER,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"MANIFOLDED 1/4""",,Y,0,,B   ,EXTRA FILTER BEFORE EACH SOLENOID.,B9XAR5TD      ,
,,SS,,,5/9/01,ELECTRIC REMOTE 2-WAY WITH STAGE FEATURE,,9998-S,LER,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,N,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"MANIFOLDED 1/4""",,Y,1,,C   ,,B9XNVFGZ      ,
,,SS,,,5/11/01,REGULATING SCHEMATIC,,9999-S,HS,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,,G-SERIES DOUBLE ACTING,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,PRESSURIZED,Y,Y,0,,C   ,4 MA TO OPEN & 20 MA TO CLOSE,B9YCK935      ,
,,MLK,,,6/10/92,ELECTRIC REMOTE 2-WAY WITH FAILSAFE & LPSO,,7765-S,LER,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,Y,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,,ATIFY837      ,
,,MLK,,,6/10/92,ELECTRIC REMOTE 2-WAY WITH FAILSAFE & LPSO,,7764-S,LER,,,N,,,,,Y,,,,,,,,,,,,,,,,,Y,,,Y,,Y,,,,,,,,,Y,,,,,,,,,,N,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,C   ,,ATIFY83H      ,
,,MLK,,,6/9/92, ELECTRIC REMOTE 2-WAY WITH ELECT FAILSAFE & LPSO,,7763-S,LER,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/2""",,Y,0,,C   ,,ATIFY83R      ,
,,MLK,,,8/14/92,EMERGENCY SHUTDOWN,,7824-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,,,ROTARY PISTON (DS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,Y,N,0,,B   ,,ATF5H44P      ,
,,MLK,,,8/13/92,ELECTRIC REMOTE 2-WAY WITH FAILSAFE,,7823-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,,,ROTARY PISTON (DS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,NONE,Y,N,0,,B   ,,ATF5H44Z      ,
,,MLK,,,8/11/92,ELECTRIC REMOTE 2-WAY & EMERGENCY SHUTDOWN,,7822-SF,LER,,,,Y,,,,Y,,,,,Y,,,,,,,,,,,,Y,,,,,,,Y,,,,,,,Y,,,,,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,FRENCH,ROTARY VANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,1,,C   ,OUT-DATED,ATF5H463      ,
,,MLK,,,8/11/92,ELECTRIC REMOTE 2-WAY & EMERGENCY SHUTDOWN,,7822-S,LER,,,,Y,,,,Y,,,,,Y,,,,,,,,,,,,Y,,,,,,,Y,,,,,,,Y,,,,,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,1,,C   ,OUT-DATED,ATF5H46D      ,
,,LER,,,2/13/85,ELECTRIC REMOTE 2-WAY,,5621-S,BF,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,N,,,,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,1,,B   ,,APZ5ROYP      ,
,,LER,,,8/14/87,ELECTRIC REMOTE 2-WAY,,6191-SF,LER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,FRENCH,ROTARY VANE,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,"MANIFOLDED 1/4""",,Y,0,,B   ,,APZ5ROZ1      ,
,,LER,,,3/5/82,ELECTRIC REMOTE 2-WAY,,4944-S,LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,1,,B   ,,APZ5ROZ7      ,
,,LER,,,1/9/90,ELECTRIC REMOTE 2-WAY,,6866-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"MANIFOLDED 1/4""",,Y,0,,C   ,,APZ5ROZJ      ,
,,SS,,,4/16/91,SINGLE WAY ELECTRIC,,7344-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,B   ,,AQ1DZS3T      ,
,,LER,,,6/11/91,SINGLE WAY ELECTRIC,,7392-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,B   ,,AQ1DZS45      ,
,,LER,,,5/29/91,SINGLE WAY ELECTRIC,,7380-S,LER,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,1,,B   ,,AQ1DZS4H      ,
,,MLK,,,1/26/94,SINGLE WAY ELECTRIC,,8356-S,LER,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,Y,,,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"MANIFOLDED 1/4""",,Y,0,,C   ,,AQ1DZS4T      ,
,,LER,,,3/22/85,SINGLE WAY ELECTRIC,,5648-S,BF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,Y,,Y,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,"MANIFOLDED 1/4""",,Y,2,,C   ,,AQ1DZS55      ,
,,LER,,,1/10/90,ELECTRIC REMOTE 2-WAY,,4944-SF,LER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,FRENCH,ROTARY VANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,B   ,,AQ1DZS5H      ,
,,MLK,,,2/5/93,ELECTRIC REMOTE 2-WAY,,4944-SS,LER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,SPANISH,ROTARY VANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANIFOLDED 1/4""",,Y,0,,B   ,,AQ1DZS5T      ,
,,MLK,,,10/19/92,ELECTRIC REMOTE 2-WAY WITH FAILSAFE,,7905-S,LER,,,N,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,ROTARY VANE,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"MANIFOLDED 1/4""",,Y,0,,C   ,,AQ1H5TT7      ,
